name,address,website,phone_number,email,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at,open_status,introduction
Soul Veterinary Clinic,16 Dunes St - Nadd Hessa - Dubai Silicon Oasis - Dubai - United Arab Emirates,soulvet.ae,+971 54 567 8817,,,4.9,No,No,No,Veterinarian,,Open,None Found
Pet Xpress Vet Clinic,near Oasis mall - Shop#9 - Al Waha St - Al Qouz Third - Al Quoz - Dubai - United Arab Emirates,petxpress.ae,+971 4 835 2631,,,4.5,No,No,No,Animal hospital,,Open,None Found
Modern Vet Hospital,793 Al Wasl Rd - Al Safa 2 - Dubai - United Arab Emirates,modernvet.com,+971 4 597 1023,,,4.6,No,No,No,Veterinarian,,Open,None Found
Umm Suqeim Veterinary Centre,Villa 1138 - 1140 Al Wasl Rd - Umm Suqeim Second - Umm Suqeim 2 - Dubai - United Arab Emirates,usvc.me,+971 4 348 3799,,,4.0,No,No,No,Veterinarian,,Open,None Found
Blue Oasis Vet,"2554+6C5 - Street 70, Next to Premier Inn Hotel Dubai Investments Park - Green Community Village - Dubai - United Arab Emirates",blueoasispetcare.com,+971 4 884 8580,,,4.7,No,No,No,Veterinarian,,Open,None Found
Vet Plus | Вет Плюс,Marina walk - Marina Promenade - Marsa Dubai - Dubai Marina - Dubai - United Arab Emirates,vetpluscenter.com,+971 4 220 4553,,,4.8,No,No,No,Veterinarian,,Open,None Found
DKC Veterinary Clinic,Daytona House - Detroit Rd - Al Hebiah First - Dubai Motor City - Dubai - United Arab Emirates,dkc.ae,+971 4 211 4800,,,4.5,No,No,No,Veterinarian,,Open,None Found
Pet friends vet clinic,Sobha Daffodil - Al Barsha South Fourth - Jumeirah Village Circle - Dubai - United Arab Emirates,petfriendsgroups.com,+971 52 739 4636,,,4.5,No,No,No,Veterinarian, · Closes 6am Mon,Open,None Found
Purr and Bark Pet Veterinary Clinic,Arjan - Al Barsha South Third - Al Barsha - Dubai - United Arab Emirates,purrnbark.com,+971 58 101 0246,,,4.9,No,No,No,Veterinarian,,Open,None Found
Kings Vet Clinic Al Wasl Jumeirah,Villa 1 - 79th Street Al Wasl Rd - Al Bada' - Jumeirah 1 - Dubai - United Arab Emirates,kingsvet.ae,+971 4 887 8471,,,4.7,No,No,No,Veterinarian, · Closes 5am Mon,Open,None Found
Pure Life Veterinary Clinic Dubai,Umm Suqeim First - Jumeirah 3 - Dubai - United Arab Emirates,purelifevet.com,+971 4 272 3442,,,4.9,No,No,No,Veterinarian, · Opens 8am Mon,Open,None Found
Modern Vet Downtown,tower Downtown - South Ridge - Dubai - United Arab Emirates,modernvet.com,+971 4 597 1023,,,4.8,No,No,No,Veterinarian, · Opens 7am Mon,Open,None Found
Pet Connection Veterinary Clinic Dubai Al Barsha 1,"Summer Land Building, Al Barsha 1 Between Mall of the Emirates and Lulu Hypermarket - Dubai - United Arab Emirates",petconnection.ae,+971 4 447 5307,,,4.3,No,No,No,Veterinarian,,Open,None Found
The Ark Animal Clinic,Binghatti Pearls Building - 92 - Shop no. 5 Al Ain - Dubai Rd - Dubai Silicon Oasis - Dubai - United Arab Emirates,theark.ae,+971 4 388 7688,,,4.8,No,No,No,Veterinarian, · Closes 3am,Open,None Found
VETS & PETS Dubai - Italian Veterinary Clinic,754A Al Wasl Rd - Jumeirah - Jumeirah 3 - Dubai - United Arab Emirates,vetsandpetsdubai.com,+971 58 599 8387,,,4.9,No,No,No,Veterinarian, · Opens 9am Mon,Open,None Found
Al Barsha Veterinary Clinic LLC,"SS Lootha - Building, shop no.3 23b street - Al Barsha First - Al Barsha - Dubai - United Arab Emirates",abvc.ae,+971 4 340 8601,,,4.5,No,No,No,Veterinarian, · Opens 8am Mon,Open,None Found
Modern Vet Palm,"Golden Mile Galleria, Building 4, Palm - Jumeirah - Dubai - United Arab Emirates",modernvet.com,+971 4 597 1023,,,4.9,No,No,No,Veterinarian, · Opens 7am Mon,Open,None Found
Zabeel Veterinary Hospital,Sheikh Zayed Rd - near MBG Centre : Molecular Biology - Zaa'beel Second - Za'abeel - Dubai - United Arab Emirates,zabeelvet.com,+971 4 334 0011,,,4.4,No,No,No,Animal hospital, · Opens 10am Mon,Open,None Found
Pet Friends Vet Clinic Alfurjan,Jebel Ali Village - Al Furjan - Dubai - United Arab Emirates,petfriendsgroups.com,+971 52 246 4939,,,4.5,No,No,No,Veterinarian,,Open,None Found
Vet Clinic Dubai - Al Barsha Branch,Al Barsha Business Centre - 14 Al Barsha 1 - Al Barsha First - Al Barsha - Dubai - United Arab Emirates,vetclinicuae.com,+971 4 614 7058,,,4.3,No,No,No,Veterinarian, · Opens 9am Mon,Open,None Found
